account_name,isin,accounting_year,g_S1,g_S2,FACTSET_ENTITY_ID
Archer Daniels Midland,US0394831020,2015,1.46102e7,3312500,000C8L-E
ARKEMA,FR0010313833,2015,3.0e6,1300000,0631PJ-E
ARM Holdings,GB0000595859,2015,492.0,14486,002DTD-E
Aryzta AG,CH0043238366,2015,94302.0,174534,05HXHN-E
Aryzta AG,CH0043238366,2015,94302.0,174534,07C9FX-E
"Asahi Group Holdings, Ltd.",JP3116000005,2015,360934.0,259772,05HWGB-E
"Asahi Glass Co., Ltd.",JP3112000009,2015,4.93e6,4430000,05HTM3-E
Asahi Kasei Corporation,JP3111200006,2015,3.358249e6,1137606,05HWFV-E
Asian Paints,INE021A01026,2015,15365.0,60304,05HZZX-E
Asics Corporation,JP3118000003,2015,5627.0,20464,05J1HQ-E
Astellas Pharma Inc.,JP3942400007,2015,98500.0,0,062SS6-E
Assa Abloy,SE0007100581,2015,267389.0,171571,05HJCV-E
Aspen Pharmacare Holdings,ZAE000066692,2015,38036.0,151183,05J0M7-E
Assicurazioni Generali Spa,IT0000062072,2015,21703.4,57025.1,05G1SW-E
Associated British Foods,GB0006731235,2015,2.607156e6,908336,05HHJZ-E
Atkins,GB0000608009,2015,17373.0,,05HXRC-E
AstraZeneca,GB0009895292,2015,335130.0,300465,000Z35-E
ASUSTeK Computer Inc,TW0002357001,2015,100.0,11488,05HWDY-E
ASX,AU000000ASX7,2015,29.0,13011,05HY7H-E
AT&T Inc.,US00206R1023,2015,1.036213e6,7632463,069J8N-E
Atea ASA,NO0004822503,2015,5863.0,2820.2,05J2QD-E
Atea ASA,NO0004822503,2015,5863.0,2820.2,07JGW7-E
Atlantia,IT0003506190,2015,148931.0,78431,05HDYG-E
Atos SE,FR0000051732,2015,31166.0,43879,003PTZ-E
ATS Automation Tooling Systems,CA0019401052,2015,4175.57,12626.9,003NSW-E
AU Optronics,TW0002409000,2015,308529.79,2473345.86,05HWHG-E
Auckland International Airport,NZAIAE0002S6,2015,2408.4,5086.32,05HXNB-E
Australia and New Zealand Banking Group,AU000000ANZ3,2015,22688.0,186844,003MPQ-E
ams AG,AT0000A18XM4,2015,16279.0,6502,05ZTWT-E
"Autodesk, Inc.",US0527691069,2015,2042.0,15966,000CFP-E
"Automatic Data Processing, Inc.",US0530151036,2015,12655.0,174985,000CFX-E
Avaya,US0534991098,2015,14070.0,78996,002YWQ-E
AvalonBay Communities,US0534841012,2015,20137.0,68367,000CNK-E
Aveng Ltd,ZAE000111829,2015,184626.0,62670,05J0B9-E
Avery Dennison Corporation,US0536111091,2015,156752.6,306471.33,000CGC-E
Aviva plc,GB0002162385,2015,19112.0,49594,05G2MG-E
"Avon Products, Inc.",US0543031027,2015,48367.0,72936,000CGK-E
AXA Group,FR0000120628,2015,49743.0,106547,001VPR-E
Axel Springer SE,DE0005501357,2015,4167.0,52384,05HWRB-E
B2W Companhia Global do Varejo,BRBTOWACNOR8,2015,43439.0,2576,0072SN-E
B2W Companhia Global do Varejo,BRBTOWACNOR8,2015,43439.0,2576,06LV3F-E
Axis Bank,INE238A01034,2015,8778.28,134746.82,05T4JX-E
Balfour Beatty,GB0000961622,2015,288644.0,126534,05HX10-E
Ball Corporation,US0584981064,2015,369864.0,862978,000CJY-E
BAE Systems,GB0002634946,2015,596515.0,607876,05HK0H-E
"Baker Hughes, a GE Company",US05722G1004,2015,442000.0,322000,0GY7RC-E
"Baker Hughes, a GE Company",US05722G1004,2015,442000.0,322000,000CHM-E
Banco Bradesco S/A,BRBBDCACNOR1,2015,4709.0,58752,003JR8-E
Banco do Brasil S/A,BRBBASACNOR3,2015,11548.0,,05HWPQ-E
Banco de Galicia y Buenos Aires S.A.,ARP096691133,2015,863.68,28519.58,001696-E
Bank of Montreal,CA0636711016,2015,22733.97,69947.81,000CKX-E
Banco Sabadell,ES0113860A34,2015,600.0,3321,05HNQ2-E
Banco Popular Espanol S.A.,ES0113790226,2015,812.03,24732.71,05HKLH-E
Banco Santander,ES0113900J37,2015,29078.0,256372,06WSS6-E
Bangkok Bank,TH0001010014,2015,3574.84,11610.89,003JT8-E
Bank of America,US0605051046,2015,98911.0,1028359,000R3K-E
BNY Mellon,US0640581007,2015,7502.0,185983,0091M7-E
Bank of Nova Scotia (Scotiabank),CA0641491075,2015,15314.0,128684,0032PQ-E
"The Bank of Yokohama, Ltd.",JP3955400001,2015,759.0,,05HWGR-E
Bankinter,ES0113679I37,2015,398.21,8911,05HJX4-E
Barclays,GB0031348658,2015,65340.0,500086,05H4C8-E
BASF SE,DE000BASF111,2015,1.8375e7,3795000,002YCC-E
Barloworld,ZAE000026639,2015,209914.0,77683,05HX0H-E
A.G. Barr Plc,GB00B6XZKY75,2015,5399.0,12123,05J2NM-E
Barrick Gold Corporation,CA0679011084,2015,3.336391e6,495711,05DZGZ-E
Basellandschaftliche Kantonalbank,CH0001473559,2015,207.0,540,05J16T-E
Basler Kantonalbank,CH0009236461,2015,21.0,574,05J1B1-E
Baxter International Inc.,US0718131099,2015,304000.0,,000CNJ-E
Bayer AG,DE000BAY0017,2015,4.41e6,4940000,0028L7-E
Baytex Energy Corp.,CA07317Q1054,2015,1.236121e6,37829,0BCB9B-E
BBVA,ES0113211835,2015,18083.0,351692,05G7HZ-E
BCE Inc.,CA05534B7604,2015,133566.0,221662,00282B-E
"Becton, Dickinson and Co.",US0758871091,2015,75661.0,464288,000CPS-E
Beiersdorf AG,DE0005200000,2015,35881.0,62729,05HG3K-E
Berner Kantonalbank AG BEKB,CH0009691608,2015,485.0,,05HY7M-E
Proximus,BE0003810273,2015,42547.0,78344,05JGJ8-E
Bendigo and Adelaide Bank,AU000000BEN6,2015,3306.19,27182.68,075WTP-E
"Benesse Holdings, Inc.",JP3835620000,2015,8778.53,964.95,08596T-E
"Best Buy Co., Inc.",US0865161014,2015,219869.0,498376,000CSN-E
"Berry Global Group, Inc",US08579W1036,2015,39900.0,1039900,008QMK-E
Bharat Forge,INE465A01025,2015,65000.0,150000,05J445-E
BHP Billiton,AU000000BHP4,2015,2.07e7,17614200,0010VG-E
Bic,FR0000120966,2015,9275.0,89580,05HDZS-E
Big Yellow Group,GB0002869419,2015,122.7,4299,05J239-E
Biogen Inc.,US09062X1037,2015,57574.0,40802,00167Y-E
BlackRock,US09247X1019,2015,4846.45,28700.21,002HJD-E
BNP Paribas,FR0000131104,2015,55085.47,340405.29,0028BD-E
BMW AG,DE0005190003,2015,536168.0,1472437,05HF3F-E
Bonavista Energy Corporation,CA09784Y1088,2015,939701.0,67423,00CZ2W-E
Boardwalk REIT,CA0966311064,2015,0.0,144702,005T33-E
Bodycote plc,GB00B3FLWH99,2015,147.8,204.5,05HXSL-E
"BOE Technology Group Co.,Ltd.",CNE000000R44,2015,923.4,15605.08,05J44K-E
Boeing Company,US0970231058,2015,601000.0,979000,000CYC-E
Booz Allen Hamilton,US0995021062,2015,0.0,18382.82,00BFKV-E
Boral,AU000000BLD2,2015,1.993841e6,648735,000Z5S-E
BorgWarner,US0997241064,2015,55527.0,265972,000CZ5-E
BP,GB0007980591,2015,4.891e7,6910000,001LLD-E
Bouygues,FR0000120503,2015,1.96348e6,417688,05HDYF-E
Brambles,AU000000BXB1,2015,79410.0,52940,06K7MS-E
Braskem S/A,BRBRKMACNOR1,2015,9.140043e6,1077644,05J1R2-E
Bristol-Myers Squibb,US1101221083,2015,247000.0,180200,000D1R-E
British American Tobacco,GB0002875804,2015,330495.0,363501,000CN6-E
Britvic,GB00B0N8QD54,2015,16963.0,36711,007TPS-E
British Land Company,GB0001367019,2015,7927.0,38710,05HJLP-E
Sky plc,GB0001411924,2015,22361.0,77363,0037FB-E
BROADRIDGE FINANCIAL SOLUTIONS INC,US11133T1034,2015,2224.0,45989,008W16-E
"Brother Industries, Ltd.",JP3830000000,2015,32587.07,104425.92,05HWZY-E
Brown-Forman Corporation,US1156372096,2015,93193.12,76443.22,000D2K-E
BT Group,GB0030913577,2015,172385.0,1027619,000D1T-E
BTG,GB0001001592,2015,1627.0,4722,05HZ4Q-E
Bucher Industries AG,CH0002432174,2015,43249.0,42648,05J13K-E
Bunge,BMG169621056,2015,1.694967e6,1729080,003B1C-E
Bunzl plc,GB00B0744B38,2015,93641.0,31204,00288B-E
Burberry Group,GB0031743007,2015,2013.0,40275,05JSWX-E
BWP Trust,AU000000BWP3,2015,0.0,,05K32L-E
Burckhardt Compression AG,CH0025536027,2015,28.0,,06H61M-E
Bureau Veritas,FR0006174348,2015,20379.0,46742,004175-E
CA Technologies,US12673P1057,2015,14064.0,49309,000F2F-E
C&C GROUP PLC,IE00B010DT83,2015,23475.0,,005S3C-E
"C.H. Robinson Worldwide, Inc.",US12541W2098,2015,531.0,,001RND-E
Cabot Corporation,US1270551013,2015,4.381e6,346000,000D61-E
CAE Inc.,CA1247651088,2015,721.0,65,003N1G-E
Cairn Energy,GB00B74CDH82,2015,31337.33,351.15,000D6M-E
Cairn India,INE910H01017,2015,1.530121e6,117689,06L6RW-E
Caixa Geral de Depósitos,PTCGD0AM0002,2015,4878.0,,05G7DP-E
Campbell Soup Company,US1344291091,2015,423730.0,311826,000D8R-E
Cameco Corporation,CA13321L1085,2015,181163.0,340671,001XGZ-E
Canadian National Railway Company,CA1363751027,2015,5.526925e6,194448,001HN7-E
Canadian Pacific Railway,CA13645T1003,2015,3.093432e6,52353,001H5Q-E
Canadian Natural Resources Limited,CA1363851017,2015,1.9777354e7,1730189,003584-E
Canadian Imperial Bank of Commerce (CIBC),CA1360691010,2015,28723.0,40659,001VG4-E
Canon Inc.,JP3242800005,2015,169974.0,,05DZHY-E
Capital One Financial,US14040H1059,2015,14421.0,199199,000DB4-E
Cap Gemini,FR0000125338,2015,5973.1,139956.02,002G6H-E
Carlsberg Breweries A/S,DK0010181759,2015,644076.0,417269,05HWX4-E
Cardinal Health Inc.,US14149Y1082,2015,138515.0,207885,000DCC-E
Carillion,GB0007365546,2015,130417.0,19875,05HZ2F-E
Carnival Corporation,PA1436583006,2015,1.0320701e7,54221,003GTW-E
Carrefour,FR0000120172,2015,1.686641e6,1602040,002D1X-E
"CBRE Group, Inc.",US12504L1098,2015,39105.0,29982,0014DV-E
Casino Guichard-Perrachon,FR0000125585,2015,1.477461e6,900683,05GJD6-E
"Casio Computer Co., Ltd.",JP3209000003,2015,4820.74,35205.19,05HX0Z-E
Castellum,SE0000379190,2015,639.0,19454,003NVP-E
Catalent Pharma Solutions,US1488061029,2015,49176.0,123781,0DK9BP-E
Catalyst Paper Corporation,CA14888T1049,2015,1.200759e6,242511,05G58W-E
Cathay Pacific Airways Limited,HK0293001514,2015,1.7368305e7,86289,05HWFT-E
CCL Industries,CA1249003098,2015,1689.93,17109.08,003N20-E
Celgene Corporation,US1510201049,2015,14523.08,25545.85,000DGZ-E
Celestica Inc.,CA15101Q1081,2015,8331.0,174956,002C52-E
CEMEX,MXP225611567,2015,4.4113781e7,3832869,05DZHH-E
Centerra Gold Inc.,CA1520061021,2015,327519.0,25692,005VSS-E
Centrais Eletricas Brasileiras S/A (ELETROBRAS),BRELETACNPB7,2015,8.413795e6,1839372,05HWJK-E
Centrais Eletricas de Santa Catarina SA CELESC,BRCLSCACNPR3,2015,6643.29,188325.94,05W4CT-E
"Compañía Española de Petróleos, S.A.U. CEPSA",ES0132580319,2015,6.124889e6,169148,05HJGX-E
Centrica,GB00B033F229,2015,4.272477e6,120539,003JJM-E
Cermaq Group ASA,NO0010003882,2015,36664.0,21325,05Z6YG-E
Challenger,AU000000CGF5,2015,0.0,918.5,05J1H2-E
Charles Schwab Corporation,US8085131055,2015,2866.0,54975,000VSF-E
Samsung C&T,KR7028260008,2015,221970.0,152000,0FS1T0-E
Samsung C&T,KR7028260008,2015,221970.0,152000,06046M-E
Chemtrade Logistics Income Fund,CA16387P1036,2015,179800.0,,003SBR-E
China Construction Bank,CNE1000002H1,2015,503.96,,05W4FW-E
Chevron Corporation,US1667641005,2015,5.8e7,3600000,000DP6-E
Innolux Corporation,TW0003481008,2015,439319.0,2804295,09M0DF-E
"Chicony Power Technology Co.,Ltd.",TW0006412000,2015,461.88,30927.27,09SZT7-E
China Development Financial Holdings,TW0002883006,2015,1592.0,11025,05HWG1-E
China Mobile,HK0941009539,2015,388129.0,15312904,0031W6-E
China Steel Corporation,TW0002002003,2015,2.0018158e7,1094572,003L88-E
Companhia Energetica Minas Gerais - CEMIG,BRCMIGACNOR6,2015,164537.0,809583,05HX9G-E
Cia Energética de São Paulo S.A. - CESP,BRCESPACNOR3,2015,2596.0,439,05WHCL-E
Cia. Brasileira de Distribuicao (CBD) Grupo Pao de Acucar,BRPCARACNOR3,2015,489184.0,205909,001YYP-E
"Chugai Pharmaceutical Co., Ltd.",JP3519400000,2015,45697.69,,05HWKC-E
"Church & Dwight Co., Inc",US1713401024,2015,73500.0,95736,000DQG-E
"Cisco Systems, Inc.",US17275R1023,2015,43734.0,731506,000DS6-E
CIE Automotive,ES0105630315,2015,74274.8,352478.5,05HVZW-E
Ciena Corp.,US1717793095,2015,645.68,17854,001FR9-E
Cincinnati Financial Corporation,US1720621010,2015,16522.0,16935,000DRH-E
Citigroup Inc.,US1729674242,2015,26552.71,810805.57,0027L0-E
"Citizen Watch Co.,Ltd.",JP3352400000,2015,20098.03,162857.42,06Q9T8-E
City Developments Limited,SG1R89002252,2015,6557.0,23734,003LXT-E
CJ Cheiljedang,KR7097950000,2015,305905.0,163421,06Y1K4-E
Clariant AG,CH0012142631,2015,402283.0,449008,05HL3L-E
Clas Ohlson AB,SE0000584948,2015,1.0,3484,05HZ2K-E
CLP Holdings Limited,HK0002007356,2015,4.6456e7,267000,003LC6-E
Clorox Company,US1890541097,2015,74409.0,224412,000DV5-E
Close Brothers Group,GB0007668071,2015,2842.0,4079,05H7JB-E
Club Mediterranee,FR0000121568,2015,52864.0,95479,05HYZG-E
Cobham,GB00B07KD360,2015,100223.0,56681,05HWXL-E
CMS Energy Corporation,US1258961002,2015,1.8146077e7,42001,000DW6-E
CNP Assurances,FR0000120222,2015,2673.0,2246,05GNMJ-E
Colgate Palmolive Company,US1941621039,2015,214015.0,429551,000DXS-E
Colbun SA,CLP3615W1037,2015,3.429641e6,7839,05HZ2H-E
The Coca-Cola Company,US1912161007,2015,1.368955e6,970333,000DWY-E
Cognizant Technology Solutions Corp.,US1924461023,2015,30121.0,245108,0021JW-E
Commerzbank AG,DE000CBK1001,2015,40081.0,128639,05FWFX-E
Coloplast A/S,DK0060448595,2015,8446.0,34502,05HWWD-E
Colt Technology Services,LU0253815640,2015,1507.1,170069.3,06HBPB-E
Comerica Incorporated,US2003401070,2015,7638.0,60965,000F01-E
Companhia de Concessões Rodoviárias - CCR,BRCCROACNOR2,2015,55621.11,16085.84,05HZBC-E
Commonwealth Bank of Australia,AU000000CBA7,2015,10043.0,114867,05FGHN-E
Compal Electronics,TW0002324001,2015,17436.26,202368.25,05HWLQ-E
"CommScope, Inc.",US20337X1090,2015,114602.0,92610,00D493-E
Compagnie Financière Richemont SA,CH0210483332,2015,13604.0,57300,003J1Y-E
"COMPEQ MANUFACTURING CO., LTD",TW0002313004,2015,5337.95,120270.97,05HX9Q-E
Conagra Brands Inc,US2058871029,2015,1.105343e6,1009579,000F36-E
ConocoPhillips,US20825C1045,2015,2.4444992e7,1305008,003GNF-E
Convergys Corporation,US2124851062,2015,4167.0,137012,002323-E
"Constellation Brands, Inc.",US21036P1084,2015,177290.0,53090,000CN7-E
Continental AG,DE0005439004,2015,715434.0,2073435,003JMZ-E
Young Lighting Technology Inc.,TW0005371009,2015,240.14,,05JZZV-E
Ingredion Incorporated,US4571871023,2015,3.448738e6,1003288,001T4T-E
"Cosmo Energy Holdings Co., Ltd.",JP3298600002,2015,3.91e6,,05HXB1-E
Costco Wholesale Corporation,US22160K1051,2015,636727.0,1236737,000F9X-E
Covanta Energy Corporation,US22282E1029,2015,4.55786e6,17478,067TWF-E
CPFL Energia SA,BRCPFEACNOR0,2015,93834.49,,0066G5-E
Credit Suisse,CH0012138530,2015,16643.0,188305,001YJY-E
Credit Agricole,FR0000045072,2015,8529.0,36006,05G3GH-E
CSL,AU000000CSL8,2015,75532.0,174374,003Q91-E
Crescent Point Energy Corporation,CA22576C1014,2015,2.760044e6,834655,07ZBVW-E
Crest Nicholson PLC,GB00B8VZXT93,2015,5027.0,2134,084CLL-E
CRH Plc,IE0001827041,2015,1.9691e7,2167000,05HGDN-E
CaixaBank,ES0140609019,2015,19117.0,,06Y6NS-E
CG Power and Industrial Solutions Limited,INE067A01029,2015,68824.0,39873,05J9FC-E
Crown Holdings,US2283681060,2015,383304.0,722261,05KK69-E
Crown Resorts,AU000000CWN6,2015,23991.0,153602,06CKF3-E
Cypress Semiconductor Corporation,US2328061096,2015,104267.1,256323.5,000FGN-E
CSR,AU000000CSR5,2015,351912.0,,003JH1-E
CSX Corporation,US1264081035,2015,5.300099e6,280588,000FFC-E
Cummins Inc.,US2310211063,2015,295463.0,537597,000FFW-E
CVS Health,US1266501006,2015,214156.0,1368598,001HHK-E
Daewoo E&C,KR7047040001,2015,11529.0,54981,05KJ91-E
"MIRAE ASSET DAEWOO CO., LTD",KR7006800007,2015,578.0,13750,05HXHY-E
"MIRAE ASSET DAEWOO CO., LTD",KR7006800007,2015,578.0,13750,0G94ZH-E
Daewoo Shipbuilding & Marine,KR7042660001,2015,136891.0,244710,05HX8J-E
"Dai Nippon Printing Co., Ltd.",JP3493800001,2015,263200.0,726100,05HWCM-E
"Daihatsu Motor Co., Ltd.",JP3496600002,2015,289252.0,333295,05HWW5-E
"Dai-ichi Life Holdings, Inc.",JP3476480003,2015,14550.0,154177,0010XG-E
"Daikin Industries, Ltd.",JP3481800005,2015,743357.0,,05HWG6-E
"Daiichi Sankyo Co., Ltd.",JP3475350009,2015,119112.0,,062067-E
Daimler AG,DE0007100000,2015,1.06e6,2208400,0025F0-E
"Sumitomo Dainippon Pharma Co., Ltd.",JP3495000006,2015,26293.0,47714,000FHB-E
Dairy Crest Group,GB0002502812,2015,79051.0,57256,05HXH6-E
"Daito Trust Construction Co., Ltd.",JP3486800000,2015,38097.27,34408.98,05HWMM-E
"Daiwa House Industry Co., Ltd.",JP3505000004,2015,214926.34,183210.32,05HWHH-E
Daiwa Securities Group Inc.,JP3502200003,2015,961.04,,05HWCT-E
Danone,FR0000120644,2015,561641.0,915747,001YMJ-E
Danske Bank A/S,DK0010274414,2015,2441.0,15423,05G8VG-E
Dassault Systemes,FR0000130650,2015,4790.0,11810,001H2S-E
Darfon Electronics Corp,TW0008163007,2015,4440.89,86159.79,06J37R-E
Deere & Company,US2441991054,2015,384476.3,906066.86,000FMM-E
DCC PLC,IE0002424939,2015,97390.0,22748,05HXJ5-E
De La Rue,GB00B3DGH821,2015,40648.0,36870,05HSV8-E
Dean Foods Company,US2423702032,2015,535338.0,431743,0015Q5-E
Aptiv,JE00B783TY65,2015,46205.0,577401,00D7D5-E
Delta Air Lines,US2473617023,2015,3.5079945e7,331845.37,000HH2-E
Delta Electronics,TW0002308004,2015,21673.0,343094,0036S8-E
Dell Inc.,US24702R1014,2015,38690.0,355228,000HGZ-E
Denka Company Limited,JP3549600009,2015,1.735165e6,482478,05HX1B-E
Dentsply Sirona Inc.,US24906P1093,2015,5644.0,98098,0FRZ52-E
Dentsply Sirona Inc.,US24906P1093,2015,5644.0,98098,000HHD-E
Dentsu Inc.,JP3551520004,2015,4482.0,53836,003LPK-E
Derichebourg Multiservices,FR0000053381,2015,6520.0,290,06V966-E
Derwent London,GB0002652740,2015,3186.0,5406,06LLS9-E
Dexus Property Group,AU000000DXS1,2015,15021.0,133625,0748R3-E
Deutsche Bank AG,DE0005140008,2015,59131.0,378445,001D6B-E
Deutsche Börse AG,DE000A2AA253,2015,4992.0,19455,05HL2T-E
Deutsche Lufthansa AG,DE0008232125,2015,2.8601347e7,343438,003JN9-E
Deutsche Postbank AG,DE0008001009,2015,14879.0,39850,05HRMS-E
Deutsche Post AG,DE0005552004,2015,5.6e6,900000,05GDR1-E
Deutsche Telekom AG,DE0005557508,2015,299729.99,3750437.29,0011H9-E
DEUTZ AG,DE0006305006,2015,13251.0,51070,05J2TR-E
Devon Energy Corporation,US25179M1036,2015,6.065844e6,940772,000HJ2-E
Diageo Plc,GB0002374006,2015,651120.0,205276,0012V7-E
Diebold Nixdorf,US2536511031,2015,101838.97,33905,000HK8-E
DIC Corporation,JP3493400000,2015,277359.0,275928,05HWS2-E
Dignity,GB00BRB37M78,2015,14988.0,7455,005PTH-E
Discovery Holdings Ltd,ZAE000022331,2015,1530.0,0,05J0KH-E
DNO International ASA,NO0003921009,2015,181192.0,1240,05J4F5-E
Distell Group Ltd,ZAE000028668,2015,75926.0,83865,05J0WH-E
Dover Corporation,US2600031080,2015,109614.0,149225,000HN5-E
Dongbu Insurance,KR7005830005,2015,3034.0,21750,05J22C-E
Doosan Heavy Industries & Construction,KR7034020008,2015,126836.0,150451,05HYZN-E
Downer EDI,AU000000DOW2,2015,220.57,51.79,05HR5C-E
Dr. Reddy’s Laboratories,INE089A01023,2015,135140.0,335254,0037C0-E
DTE Energy Company,US2333311072,2015,3.39e7,2400000,000ZW7-E
DTE Energy Company,US2333311072,2015,3.39e7,2400000,000HHY-E
DSV A/S,DK0060079531,2015,3.687e6,48000,05HZ61-E
RIO PARANAPANEMA ENERGIA S.A.,BRGEPAACNPR9,2015,443.22,23.49,05K4KH-E
Duke Energy Corporation,US26441C2044,2015,1.00238e8,,06F9DV-E
